# spanish	english	exampleSpanish	exampleEnglish	role	collections
eres de [un lugar]	you are from [a place]	¿Eres de México?	Are you from Mexico?	supporting	pos:verb|sense:ser-origen|conjugation:present|conjugation:2sg|conjugation:irregular|es:ser|en:from|grammar:origin
es de [un lugar]	is from [a place]	Ella es de Perú.	She is from Peru.	core	pos:verb|sense:ser-origen|conjugation:present|conjugation:3sg|conjugation:irregular|es:ser|en:from|grammar:origin
somos de [un lugar]	we are from [a place]	Somos de Bogotá.	We are from Bogotá.	supporting	pos:verb|sense:ser-origen|conjugation:present|conjugation:1pl|conjugation:irregular|es:ser|en:from|grammar:origin
son de [un lugar]	they are from [a place]	Ellos son de España.	They are from Spain.	supporting	pos:verb|sense:ser-origen|conjugation:present|conjugation:3pl|conjugation:irregular|es:ser|en:from|grammar:origin
tengo [número] años	I am [number] years old	Tengo veinte años.	I am twenty years old.	core	pos:verb|sense:tener-edad|conjugation:present|conjugation:1sg|conjugation:irregular|es:tener|en:old|en:years|grammar:age|grammar:be
tienes [número] años	you are [number] years old	¿Cuántos años tienes?	How old are you?	supporting	pos:verb|sense:tener-edad|conjugation:present|conjugation:2sg|conjugation:irregular|es:tener|en:old|grammar:age
tiene [número] años	is [number] years old	Ella tiene diez años.	She is ten years old.	core	pos:verb|sense:tener-edad|conjugation:present|conjugation:3sg|conjugation:irregular|es:tener|en:old|grammar:age
tenemos [número] años	we are [number] years old	Tenemos treinta años.	We are thirty years old.	supporting	pos:verb|sense:tener-edad|conjugation:present|conjugation:1pl|conjugation:irregular|es:tener|en:old|grammar:age
tienen [número] años	they are [number] years old	Ellos tienen cinco años.	They are five years old.	supporting	pos:verb|sense:tener-edad|conjugation:present|conjugation:3pl|conjugation:irregular|es:tener|en:old|grammar:age
tengo que [hacer algo]	I have to [do something]	Tengo que salir.	I have to leave.	core	pos:verb|sense:tener-obligacion|conjugation:present|conjugation:1sg|conjugation:irregular|es:tener|en:have|en:to|grammar:modal
tienes que [hacer algo]	you have to [do something]	Tienes que llamarla.	You have to call her.	core	pos:verb|sense:tener-obligacion|conjugation:present|conjugation:2sg|conjugation:irregular|es:tener|en:have|grammar:modal
tiene que [hacer algo]	has to [do something]	Ella tiene que trabajar.	She has to work.	core	pos:verb|sense:tener-obligacion|conjugation:present|conjugation:3sg|conjugation:irregular|es:tener|en:has|grammar:modal
tenemos que [hacer algo]	we have to [do something]	Tenemos que esperar.	We have to wait.	supporting	pos:verb|sense:tener-obligacion|conjugation:present|conjugation:1pl|conjugation:irregular|es:tener|en:have|grammar:modal
tienen que [hacer algo]	they have to [do something]	Ellos tienen que pagar.	They have to pay.	supporting	pos:verb|sense:tener-obligacion|conjugation:present|conjugation:3pl|conjugation:irregular|es:tener|en:have|grammar:modal
soy [adjetivo]	I am [adjective]	Soy alto.	I am tall.	core	pos:verb|sense:ser-caracteristica|conjugation:present|conjugation:1sg|conjugation:irregular|es:ser|en:be|grammar:ser-adjective|grammar:linking-verb-adjective
eres [adjetivo]	you are [adjective]	Eres muy amable.	You are very kind.	supporting	pos:verb|sense:ser-caracteristica|conjugation:present|conjugation:2sg|conjugation:irregular|es:ser|en:be|grammar:ser-adjective
es [adjetivo]	is [adjective]	La reunión es importante.	The meeting is important.	core	pos:verb|sense:ser-caracteristica|conjugation:present|conjugation:3sg|conjugation:irregular|es:ser|en:be|grammar:ser-adjective
somos [adjetivo]	we are [adjective]	Somos puntuales.	We are punctual.	supporting	pos:verb|sense:ser-caracteristica|conjugation:present|conjugation:1pl|conjugation:irregular|es:ser|en:be|grammar:ser-adjective
son [adjetivo]	they are [adjective]	Ellos son jóvenes.	They are young.	supporting	pos:verb|sense:ser-caracteristica|conjugation:present|conjugation:3pl|conjugation:irregular|es:ser|en:be|grammar:ser-adjective
es la una	it's one o'clock	Es la una de la tarde.	It's one o'clock in the afternoon.	supporting	pos:verb|sense:ser-hora|conjugation:present|conjugation:3sg|conjugation:irregular|es:ser|en:time|topic:clock-time
