concept-id	role	reason
cp5hmttaq2	P1	Level 1 spine (docs/curation/level-1.md): hay [algo singular] → there's [something singular]
1qz4qeh9oi	P1	Level 1 spine (docs/curation/level-1.md): hacer [una tarea o actividad] → to do [a task or activity]
qt9aqatj4f	P1	Level 1 spine (docs/curation/level-1.md): hacer → to do
v6srxq2n55	P1	Level 1 spine (docs/curation/level-1.md): hacer → do
m9dfm9pbq2	P1	Level 1 spine (docs/curation/level-1.md): hacer [algo creado o preparado] → to make [something]
xd9c671eit	P1	Level 1 spine (docs/curation/level-1.md): lo → it
m3zbdhcenj	P1	Level 1 spine (docs/curation/level-1.md): la → it
laabqgv17t	P1	Level 1 spine (docs/curation/level-1.md): ello → it
nqv2w27jgr	P1	Level 1 spine (docs/curation/level-1.md): algo → something
tzymzgnepe	P1	Level 1 spine (docs/curation/level-1.md): [la] cosa → thing
qxku96zu9e	P1	Level 1 spine (docs/curation/level-1.md): y → and
eiiegq2s5o	P1	Level 1 spine (docs/curation/level-1.md): o → or
s08z927piv	P1	Level 1 spine (docs/curation/level-1.md): pero → but
wjbh6m5ek1	P1	Level 1 spine (docs/curation/level-1.md): porque → because
v3wnwpk0qj	P1	Level 1 spine (docs/curation/level-1.md): si → if
9qaylitnlb	P1	Level 1 spine (docs/curation/level-1.md): que (cláusula) → that
71u0miv5rm	P1	Level 1 spine (docs/curation/level-1.md): cuando (conector) → when
u109gx9ehn	P1	Level 1 spine (docs/curation/level-1.md): así que → so
rakstubyz7	P1	Level 1 spine (docs/curation/level-1.md): entonces → then
gdwcgcevlo	P1	Level 1 spine (docs/curation/level-1.md): aquí → here
wyrj7k8thq	P1	Level 1 spine (docs/curation/level-1.md): allí → there
rf7wttxz5x	P1	Level 1 spine (docs/curation/level-1.md): hoy → today
uklvuftocv	P1	Level 1 spine (docs/curation/level-1.md): mañana → tomorrow
44tis0284q	P1	Level 1 spine (docs/curation/level-1.md): ahora → now
fv4tu6n5s9	P1	Level 1 spine (docs/curation/level-1.md): más tarde → later
8aag559cpt	P1	Level 1 spine (docs/curation/level-1.md): siempre → always
neo7bdruvy	P1	Level 1 spine (docs/curation/level-1.md): muy [adjetivo] → very [adjective]
11lmznqkb7	P1	Level 1 spine (docs/curation/level-1.md): tan [adjetivo] → so [adjective]
szn7fm8wsx	P1	Level 1 spine (docs/curation/level-1.md): [hacer algo] mucho → to [do something] a lot
foy4696l7r	P1	Level 1 spine (docs/curation/level-1.md): el → the
qdyg6idr5p	P1	Level 1 spine (docs/curation/level-1.md): la → the
u7zp2lujp0	P1	Level 1 spine (docs/curation/level-1.md): los → the
4j1nc0c9o9	P1	Level 1 spine (docs/curation/level-1.md): las → the
8jv3otkqa7	P1	Level 1 spine (docs/curation/level-1.md): un → a
zravwibucz	P1	Level 1 spine (docs/curation/level-1.md): una → a
7rngt9gu3p	P1	Level 1 spine (docs/curation/level-1.md): algún [sustantivo] → some [noun]
1gq5hjnrzn	P1	Level 1 spine (docs/curation/level-1.md): alguna [sustantivo] → some [noun]
8xn53vk9eu	P1	Level 1 spine (docs/curation/level-1.md): unos → some
0tty2mfina	P1	Level 1 spine (docs/curation/level-1.md): este → this
7hfg12h8br	P1	Level 1 spine (docs/curation/level-1.md): esta → this
6cnielk682	P1	Level 1 spine (docs/curation/level-1.md): esto → this
dt2cwfu58n	P1	Level 1 spine (docs/curation/level-1.md): ese → that
19ebbd6l4z	P1	Level 1 spine (docs/curation/level-1.md): esa → that
tvm9cf1n1l	P1	Level 1 spine (docs/curation/level-1.md): eso → that
m7x949wtjj	P1	Level 1 spine (docs/curation/level-1.md): más [sustantivo] → more [noun]
